"Service","Package","Version","Hide","Notes"
"Microsoft.Azure.SignalR","Microsoft.Azure.SignalR","1.4.3","",""
"Microsoft.Azure.SignalR.AspNet","Microsoft.Azure.SignalR.AspNet","1.4.3","",""
"Microsoft.Azure.SignalR.Management","Microsoft.Azure.SignalR.Management","1.4.3","",""
"Microsoft.Azure.SignalR.Protocols","Microsoft.Azure.SignalR.Protocols","1.4.3","",""
"Microsoft.Azure.SqlDatabase.ElasticScale.Client","Microsoft.Azure.SqlDatabase.ElasticScale.Client","2.3.0","",""
"Microsoft.Azure.SqlDatabase.ElasticScale.Service.SplitMerge","Microsoft.Azure.SqlDatabase.ElasticScale.Service.SplitMerge","1.2.0","",""
"Microsoft.Azure.SqlDatabase.Jobs","Microsoft.Azure.SqlDatabase.Jobs","0.8.3362.1","",""
"Microsoft.Azure.Storage.Blob","Microsoft.Azure.Storage.Blob","11.1.5","","Replaced By: Azure.Storage.Blobs"
"Microsoft.Azure.Storage.Common","Microsoft.Azure.Storage.Common","11.1.5","true",""
"Microsoft.Azure.Storage.CPP","Microsoft.Azure.Storage.CPP","5.0.0","true",""
"Microsoft.Azure.Storage.CPP.v120","Microsoft.Azure.Storage.CPP.v120","5.0.0","true",""
"Microsoft.Azure.Storage.CPP.v140","Microsoft.Azure.Storage.CPP.v140","5.0.0","true",""
"Microsoft.Azure.Storage.DataMovement","Microsoft.Azure.Storage.DataMovement","1.3.0","",""
"Microsoft.Azure.Storage.File","Microsoft.Azure.Storage.File","11.1.5","","Replaced By: Azure.Storage.Files.Shares"
"Microsoft.Azure.Storage.Queue","Microsoft.Azure.Storage.Queue","11.1.5","","Replaced By: Azure.Storage.Queues"
"Microsoft.Azure.Test.HttpRecorder","Microsoft.Azure.Test.HttpRecorder","1.13.3","",""
"Microsoft.Azure.WebJobs","Microsoft.Azure.WebJobs","3.0.16","",""
"Microsoft.Azure.WebJobs.Core","Microsoft.Azure.WebJobs.Core","3.0.16","",""
"Microsoft.Azure.WebJobs.Extensions","Microsoft.Azure.WebJobs.Extensions","3.0.6","",""
"Microsoft.Azure.WebJobs.Extensions.CosmosDB","Microsoft.Azure.WebJobs.Extensions.CosmosDB","3.0.7","",""
"Microsoft.Azure.WebJobs.Extensions.DocumentDB","Microsoft.Azure.WebJobs.Extensions.DocumentDB","1.3.0","",""
"Microsoft.Azure.WebJobs.Extensions.DurableTask","Microsoft.Azure.WebJobs.Extensions.DurableTask","2.2.1","",""
"Microsoft.Azure.WebJobs.Extensions.DurableTask.Analyzers","Microsoft.Azure.WebJobs.Extensions.DurableTask.Analyzers","0.2.2","",""
"Microsoft.Azure.WebJobs.Extensions.EdgeHub","Microsoft.Azure.WebJobs.Extensions.EdgeHub","1.0.7","",""
"Microsoft.Azure.WebJobs.Extensions.EventGrid","Microsoft.Azure.WebJobs.Extensions.EventGrid","2.1.0","",""
"Microsoft.Azure.WebJobs.Extensions.EventHubs","Microsoft.Azure.WebJobs.Extensions.EventHubs","4.1.1","",""
"Microsoft.Azure.WebJobs.Extensions.Http","Microsoft.Azure.WebJobs.Extensions.Http","3.0.2","",""
"Microsoft.Azure.WebJobs.Extensions.MobileApps","Microsoft.Azure.WebJobs.Extensions.MobileApps","1.3.0","",""
"Microsoft.Azure.WebJobs.Extensions.NotificationHubs","Microsoft.Azure.WebJobs.Extensions.NotificationHubs","1.3.0","",""
