Service,ServiceId,SDK,Plane,Language,Track1.Package,Track1.RepoLink,Track1.ColorCode,Track1.Deprecated,Track2.Package,Track2.RepoLink,Track2.ColorCode,Track2.Deprecated,PercentComplete,LatestRelease
Power BI Dedicated,0,Resource Management - Power BI Dedicated,mgmt,Python,,,11,false,azure-mgmt-powerbidedicated,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/powerbidedicated,10,false,1,03/26/2021
Private DNS,0,Resource Management - Private DNS,mgmt,Python,,,11,false,azure-mgmt-privatedns,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/network,10,false,1,09/23/2024
Purestorageblock,0,Resource Management - Purestorageblock,mgmt,Python,,,11,false,azure-mgmt-purestorageblock,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/purestorageblock,10,false,1,07/03/2025
Purview,0,Resource Management - Purview,mgmt,Python,,,11,false,azure-mgmt-purview,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/purview,10,false,1,08/16/2021
Quantum,0,Resource Management - Quantum,mgmt,Python,,,11,false,azure-mgmt-quantum,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/quantum,3,false,1,
Qumulo,0,Resource Management - Qumulo,mgmt,Python,,,11,false,azure-mgmt-qumulo,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/qumulo,10,false,1,09/05/2024
Quota,0,Resource Management - Quota,mgmt,Python,,,11,false,azure-mgmt-quota,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/quota,10,false,1,02/26/2025
Recovery Services,0,Resource Management - Recovery Services,mgmt,Python,,,11,false,azure-mgmt-recoveryservices,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/recoveryservices,10,false,1,06/05/2025
Recovery Services,0,Resource Management - Recovery Services Backup,mgmt,Python,,,11,false,azure-mgmt-recoveryservicesbackup,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/recoveryservices,10,false,1,04/17/2025
Recovery Services,0,Resource Management - Recovery Services Data Replication,mgmt,Python,,,11,false,azure-mgmt-recoveryservicesdatareplication,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/recoveryservicesdatareplication,10,false,1,07/28/2025
Recovery Services,0,Resource Management - Recovery Services Site Recovery,mgmt,Python,,,11,false,azure-mgmt-recoveryservicessiterecovery,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/recoveryservices,10,false,1,04/23/2025
Red Hat OpenShift (ARO),0,Resource Management - Red Hat OpenShift,mgmt,Python,,,11,false,azure-mgmt-redhatopenshift,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/redhatopenshift,10,false,1,10/30/2024
Redis,0,Resource Management - Redis,mgmt,Python,,,11,false,azure-mgmt-redis,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/redis,10,false,1,01/20/2025
Redis,0,Resource Management - Redis Enterprise,mgmt,Python,,,11,false,azure-mgmt-redisenterprise,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/redisenterprise,10,false,1,03/04/2024
Region Move,0,Resource Management - Region Move,mgmt,Python,,,11,false,azure-mgmt-regionmove,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/regionmove,3,true,1,
Relay,0,Resource Management - Relay,mgmt,Python,,,11,false,azure-mgmt-relay,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/relay,10,false,1,09/06/2021
Reservations,0,Resource Management - Reservations,mgmt,Python,,,11,false,azure-mgmt-reservations,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/reservations,10,false,1,03/20/2023
Resource Connector,0,Resource Management - Resource Connector,mgmt,Python,,,11,false,azure-mgmt-resourceconnector,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/resourceconnector,10,false,1,08/19/2023
Resource Graph,0,Resource Management - Resource Graph,mgmt,Python,,,11,false,azure-mgmt-resourcegraph,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/resources,10,false,1,04/12/2021
Resource Health,0,Resource Management - Resource Health,mgmt,Python,,,11,false,azure-mgmt-resourcehealth,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/resourcehealth,3,false,1,
Resource Mover,0,Resource Management - Resource Mover,mgmt,Python,,,11,false,azure-mgmt-resourcemover,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/resourcemover,10,false,1,10/23/2023
Resource-Bicep,0,Resource Management - Resource-Bicep,mgmt,Python,,,11,false,azure-mgmt-resource-bicep,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/resources,3,false,1,
Resource-Deployments,0,Resource Management - Resource-Deployments,mgmt,Python,,,11,false,azure-mgmt-resource-deployments,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/resources,3,false,1,
Resource-Deploymentscripts,0,Resource Management - Resource-Deploymentscripts,mgmt,Python,,,11,false,azure-mgmt-resource-deploymentscripts,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/resources,3,false,1,
Resource-Deploymentstacks,0,Resource Management - Resource-Deploymentstacks,mgmt,Python,,,11,false,azure-mgmt-resource-deploymentstacks,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/resources,3,false,1,
Resource-Templatespecs,0,Resource Management - Resource-Templatespecs,mgmt,Python,,,11,false,azure-mgmt-resource-templatespecs,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/resources,3,false,1,
Resources,0,Resource Management - Resources,mgmt,Python,,,11,false,azure-mgmt-resource,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/resources,10,false,1,06/17/2025
Scheduler,0,Resource Management - Scheduler,mgmt,Python,,,11,false,azure-mgmt-scheduler,https://github.com/Azure/azure-sdk-for-python/tree/azure-mgmt-scheduler_2.0.0/azure-mgmt-scheduler/,10,true,1,10/31/2024
Scvmm,0,Resource Management - Scvmm,mgmt,Python,,,11,false,azure-mgmt-scvmm,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/scvmm,10,false,1,06/26/2024
Secretsstoreextension,0,Resource Management - Secretsstoreextension,mgmt,Python,,,11,false,azure-mgmt-secretsstoreextension,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/secretsstoreextension,3,false,1,
Security,0,Resource Management - Security,mgmt,Python,,,11,false,azure-mgmt-security,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/security,10,false,1,05/20/2024
