"Package","VersionGA","VersionPreview","DisplayName","ServiceName","RepoPath","MSDocs","GHDocs","Type","New","PlannedVersions","LatestGADate","FirstGADate","FirstPreviewDate","Support","EOLDate","Hide","Replace","ReplaceGuide","MSDocService","ServiceId","Notes"
"azure_resourcemanager_search","","0.0.1","Resource Management - Azure AI Search","Search","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_securitycenter","","0.0.1","Resource Management - Security","Security","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_securitydevops","","0.0.1","Resource Management - Security DevOps","Security DevOps","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_securityinsights","","0.0.1","Resource Management - Security Insights","Security Insights","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_selfhelp","","0.0.1","Resource Management - Self Help","Self Help","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_servicebus","","0.0.1","Resource Management - Service Bus","Service Bus","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_servicefabric","","0.0.1","Resource Management - Service Fabric","Service Fabric","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_servicefabricmanagedclusters","","0.0.1","Resource Management - Service Fabric Managed Clusters","Service Fabric","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_servicelinker","","0.0.1","Resource Management - Service Linker","Service Linker","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_servicenetworking","","0.0.1","Resource Management - Service Networking","Service Networking","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_signalr","","0.0.1","Resource Management - SignalR","SignalR","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_sphere","","0.0.1","Resource Management - Sphere","Sphere","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_springappdiscovery","","0.0.1","Resource Management - Spring App Discovery","Spring App Discovery","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_sql","","0.0.1","Resource Management - SQL","SQL","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_sqlvirtualmachine","","0.0.1","Resource Management - SQL Virtual Machine","SQL Virtual Machine","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_standbypool","","0.0.1","Resource Management - Standby Pool","Pool Management Service (PMaaS)","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_storage","","0.0.1","Resource Management - Storage","Storage","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_storageactions","","0.0.1","Resource Management - Storage Actions","Storage","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_storagecache","","0.0.1","Resource Management - Storage Cache","Storage","NA","NA","NA","","false","","","","","","","true","","","","",""
