"Package","VersionGA","VersionPreview","DisplayName","ServiceName","RepoPath","MSDocs","GHDocs","Type","New","PlannedVersions","LatestGADate","FirstGADate","Support","EOLDate","Hide","Replace","ReplaceGuide","MSDocService","ServiceId","Notes"
"sdk/resourcemanager/elasticsan/armelasticsan","","0.2.0","Resource Management - Elastic SAN","Elastic SAN","resourcemanager/elasticsan/armelasticsan","","","mgmt","true","","","","","","","","","","",""
"sdk/resourcemanager/elasticsans/armelasticsans","","0.1.1","Resource Management - Elastics SANs","Elastics SANs","resourcemanager/elasticsans/armelasticsans","NA","NA","mgmt","true","","","","","","","","","","",""
"sdk/resourcemanager/engagementfabric/armengagementfabric","","0.2.0","Resource Management - Engagement Fabric","Engagement Fabric","resourcemanager/engagementfabric/armengagementfabric","","","mgmt","true","","","","","","","","","","",""
"sdk/resourcemanager/eventgrid/armeventgrid","2.1.1","2.2.0-beta.1","Resource Management - Event Grid","Event Grid","resourcemanager/eventgrid/armeventgrid","","NA","mgmt","true","","","05/16/2022","","","","","","","",""
"sdk/resourcemanager/eventhub/armeventhub","1.1.1","1.2.0-beta.1","Resource Management - Event Hubs","Event Hubs","resourcemanager/eventhub/armeventhub","","","mgmt","true","","","05/16/2022","","","","","","","",""
"sdk/resourcemanager/extendedlocation/armextendedlocation","1.1.1","1.2.0-beta.1","Resource Management - Extended Location","Extended Location","resourcemanager/extendedlocation/armextendedlocation","","","mgmt","true","","","05/17/2022","","","","","","","",""
"sdk/resourcemanager/resources/armfeatures","1.1.0","","Resource Management - Features","Features","resourcemanager/resources/armfeatures","","","mgmt","true","","03/28/2023","05/16/2022","","","","","","","",""
"sdk/resourcemanager/fluidrelay/armfluidrelay","1.1.1","","Resource Management - Fluid Relay","Fluid Relay","resourcemanager/fluidrelay/armfluidrelay","","","mgmt","true","","04/14/2023","07/29/2022","","","","","","","",""
"sdk/resourcemanager/frontdoor/armfrontdoor","1.2.0","","Resource Management - Front Door","Front Door","resourcemanager/frontdoor/armfrontdoor","","","mgmt","true","","05/23/2023","05/17/2022","","","","","","","",""
"sdk/resourcemanager/graphservices/armgraphservices","1.0.0","","Resource Management - Graph Services","Graph Services","resourcemanager/graphservices/armgraphservices","","","mgmt","true","","06/20/2023","06/20/2023","","","","","","","",""
"sdk/resourcemanager/guestconfiguration/armguestconfiguration","1.1.1","","Resource Management - Guest Configuration","Guest Configuration","resourcemanager/guestconfiguration/armguestconfiguration","","","mgmt","true","","04/14/2023","05/16/2022","","","","","","","",""
"sdk/resourcemanager/hanaonazure/armhanaonazure","","0.6.0","Resource Management - HANA on Azure","HANA on Azure","resourcemanager/hanaonazure/armhanaonazure","","","mgmt","true","","","","","","","","","","",""
"sdk/resourcemanager/hardwaresecuritymodules/armhardwaresecuritymodules","1.1.0","","Resource Management - Hardware Security Module","Hardware Security Module","resourcemanager/hardwaresecuritymodules/armhardwaresecuritymodules","","","mgmt","true","","03/30/2023","05/17/2022","","","","","","","",""
"sdk/resourcemanager/hdinsight/armhdinsight","1.1.1","","Resource Management - HDInsight","HDInsight","resourcemanager/hdinsight/armhdinsight","","","mgmt","true","","04/14/2023","05/16/2022","","","","","","","",""
"sdk/resourcemanager/healthbot/armhealthbot","1.1.1","","Resource Management - Health Bot","Health Bot","resourcemanager/healthbot/armhealthbot","","","mgmt","true","","04/14/2023","05/17/2022","","","","","","","",""
"sdk/resourcemanager/healthcareapis/armhealthcareapis","1.1.1","","Resource Management - Healthcare APIs","Healthcare APIs","resourcemanager/healthcareapis/armhealthcareapis","","","mgmt","true","","04/14/2023","05/17/2022","","","","","","","",""
"sdk/resourcemanager/hybridcompute/armhybridcompute","1.1.1","","Resource Management - Hybrid Compute","Hybrid Compute","resourcemanager/hybridcompute/armhybridcompute","","","mgmt","true","","04/14/2023","05/17/2022","","","","","","","",""
"sdk/resourcemanager/hybridconnectivity/armhybridconnectivity","","0.6.1","Resource Management - Hybrid Connectivity","Hybrid Connectivity","resourcemanager/hybridconnectivity/armhybridconnectivity","","","mgmt","true","","","","","","","","","","",""
"sdk/resourcemanager/hybridcontainerservice/armhybridcontainerservice","","0.2.0","Resource Management - Hybrid Container Service","Hybrid Container Service","resourcemanager/hybridcontainerservice/armhybridcontainerservice","","","mgmt","true","","","","","","","","","","",""
"sdk/resourcemanager/hybriddatamanager/armhybriddatamanager","1.1.1","","Resource Management - Hybrid Data Manager","Hybrid Data Manager","resourcemanager/hybriddatamanager/armhybriddatamanager","","","mgmt","true","","04/14/2023","05/17/2022","deprecated","12/31/2022","","NA","NA","","",""
"sdk/resourcemanager/hybridkubernetes/armhybridkubernetes","1.1.1","","Resource Management - Hybrid Kubernetes","Hybrid Kubernetes","resourcemanager/hybridkubernetes/armhybridkubernetes","","","mgmt","true","","04/14/2023","05/17/2022","","","","","","","",""
"sdk/resourcemanager/hybridnetwork/armhybridnetwork","1.1.1","2.0.0-beta.2","Resource Management - Hybrid Network","Hybrid Network","resourcemanager/hybridnetwork/armhybridnetwork","","NA","mgmt","true","","04/14/2023","05/17/2022","","","","","","","",""
"sdk/resourcemanager/iotcentral/armiotcentral","1.1.1","2.0.0-beta.2","Resource Management - IoT Central","IoT","resourcemanager/iotcentral/armiotcentral","","NA","mgmt","true","","04/14/2023","05/17/2022","","","","","","","",""
"sdk/resourcemanager/iothub/armiothub","1.1.1","1.2.0-beta.1","Resource Management - IoT Hub","IoT","resourcemanager/iothub/armiothub","","","mgmt","true","","","05/16/2022","","","","","","","",""
"sdk/resourcemanager/iotsecurity/armiotsecurity","","0.6.1","Resource Management - IoT Security","IoT","resourcemanager/iotsecurity/armiotsecurity","","","mgmt","true","","","","","","","","","","",""
"sdk/resourcemanager/keyvault/armkeyvault","1.2.0","","Resource Management - Key Vault","Key Vault","resourcemanager/keyvault/armkeyvault","","","mgmt","true","","04/25/2023","05/16/2022","","","","","","","",""
"sdk/resourcemanager/kubernetesconfiguration/armkubernetesconfiguration","2.0.0","","Resource Management - Kubernetes Configuration","Kubernetes Configuration","resourcemanager/kubernetesconfiguration/armkubernetesconfiguration","","NA","mgmt","true","","05/23/2023","05/17/2022","","","","","","","",""
"sdk/resourcemanager/kusto/armkusto","1.3.1","","Resource Management - Kusto","Kusto","resourcemanager/kusto/armkusto","","","mgmt","true","","04/14/2023","05/16/2022","","","","","","","",""
