"DisplayName","Package","Version","Hide","Notes","Type"
"Microsoft.Azure.KeyVault.Extensions","Microsoft.Azure.KeyVault.Extensions","3.0.5","","Replaced By: Azure.Security.KeyVault.Keys<br>Azure.Security.KeyVault.Secrets<br>Azure.Security.KeyVault.Certificates",""
"Microsoft.Azure.KeyVault.WebKey","Microsoft.Azure.KeyVault.WebKey","3.0.5","","Replaced By: Azure.Security.KeyVault.Keys<br>Azure.Security.KeyVault.Secrets<br>Azure.Security.KeyVault.Certificates",""
"Microsoft.Azure.Management.Advisor","Microsoft.Azure.Management.Advisor","0.9.5-preview","","",""
"Microsoft.Azure.Management.AlertsManagement","Microsoft.Azure.Management.AlertsManagement","0.9.2-preview","","",""
"Microsoft.Azure.Management.Analysis","Microsoft.Azure.Management.Analysis","2.0.4","","",""
"Microsoft.Azure.Management.AnalysisServices.Fluent","Microsoft.Azure.Management.AnalysisServices.Fluent","1.9.1-beta","","",""
"Microsoft.Azure.Management.ApiManagement","Microsoft.Azure.Management.ApiManagement","6.0.0-preview","","",""
"Microsoft.Azure.Management.ApplicationInsights","Microsoft.Azure.Management.ApplicationInsights","0.3.0-preview","","",""
"Microsoft.Azure.Management.AppPlatform","Microsoft.Azure.Management.AppPlatform","0.1.0-preview","","",""
"Microsoft.Azure.Management.AppService.Fluent","Microsoft.Azure.Management.AppService.Fluent","1.34.0","","",""
"Microsoft.Azure.Management.Attestation","Microsoft.Azure.Management.Attestation","0.12.0-preview","","",""
"Microsoft.Azure.Management.Authorization","Microsoft.Azure.Management.Authorization","2.11.0-preview","","",""
"Microsoft.Azure.Management.Automation","Microsoft.Azure.Management.Automation","3.8.1-preview","","",""
"Microsoft.Azure.Management.Avs","Microsoft.Azure.Management.Avs","1.0.0-preview.1","","",""
"Microsoft.Azure.Management.BackupServices","Microsoft.Azure.Management.BackupServices","1.0.5-preview","","",""
"Microsoft.Azure.Management.Batch","Microsoft.Azure.Management.Batch","11.0.0","","",""
"Microsoft.Azure.Management.Batch.Fluent","Microsoft.Azure.Management.Batch.Fluent","1.26.1","","",""
"Microsoft.Azure.Management.BatchAI","Microsoft.Azure.Management.BatchAI","2.0.0","","",""
"Microsoft.Azure.Management.BatchAI.Fluent","Microsoft.Azure.Management.BatchAI.Fluent","1.34.0","","",""
"Microsoft.Azure.Management.Billing","Microsoft.Azure.Management.Billing","4.0.0","","",""
"Microsoft.Azure.Management.Billing.Fluent","Microsoft.Azure.Management.Billing.Fluent","1.9.1-beta","","",""
"Microsoft.Azure.Management.Blueprint","Microsoft.Azure.Management.Blueprint","0.20.7-preview","","",""
"Microsoft.Azure.Management.BotService","Microsoft.Azure.Management.BotService","0.9.3-preview","","",""
"Microsoft.Azure.Management.Cdn","Microsoft.Azure.Management.Cdn","5.0.0-preview","","",""
"Microsoft.Azure.Management.Cdn.Fluent","Microsoft.Azure.Management.Cdn.Fluent","1.34.0","","",""
"Microsoft.Azure.Management.CognitiveServices","Microsoft.Azure.Management.CognitiveServices","7.3.0-preview","","",""
"Microsoft.Azure.Management.CognitiveServices.Fluent","Microsoft.Azure.Management.CognitiveServices.Fluent","1.9.1-beta","","",""
"Microsoft.Azure.Management.Compute","Microsoft.Azure.Management.Compute","37.0.0","","",""
"Microsoft.Azure.Management.Compute.Fluent","Microsoft.Azure.Management.Compute.Fluent","1.34.0","","",""
"Microsoft.Azure.Management.Consumption","Microsoft.Azure.Management.Consumption","3.0.2","","",""
"Microsoft.Azure.Management.Consumption.Fluent","Microsoft.Azure.Management.Consumption.Fluent","1.9.1-beta","","",""
"Microsoft.Azure.Management.ContainerInstance","Microsoft.Azure.Management.ContainerInstance","3.0.0","","",""
"Microsoft.Azure.Management.ContainerInstance.Fluent","Microsoft.Azure.Management.ContainerInstance.Fluent","1.34.0","","",""
"Microsoft.Azure.Management.ContainerRegistry","Microsoft.Azure.Management.ContainerRegistry","5.0.0-preview.4","","",""
"Microsoft.Azure.Management.ContainerRegistry.Fluent","Microsoft.Azure.Management.ContainerRegistry.Fluent","1.34.0","","",""
"Microsoft.Azure.Management.ContainerService","Microsoft.Azure.Management.ContainerService","1.0.0","","",""
"Microsoft.Azure.Management.ContainerService.Fluent","Microsoft.Azure.Management.ContainerService.Fluent","1.34.0","","",""
"Microsoft.Azure.Management.CosmosDB","Microsoft.Azure.Management.CosmosDB","1.2.0","","",""
"Microsoft.Azure.Management.CosmosDB.Fluent","Microsoft.Azure.Management.CosmosDB.Fluent","1.34.0","","",""
"Microsoft.Azure.Management.CustomerInsights","Microsoft.Azure.Management.CustomerInsights","0.9.1-preview","","",""
"Microsoft.Azure.Management.CustomerInsights.Fluent","Microsoft.Azure.Management.CustomerInsights.Fluent","1.9.1-beta","","",""
"Microsoft.Azure.Management.DataBox","Microsoft.Azure.Management.DataBox","1.1.0","","",""
"Microsoft.Azure.Management.DataBoxEdge","Microsoft.Azure.Management.DataBoxEdge","1.0.0","","",""
"Microsoft.Azure.Management.DataFactories","Microsoft.Azure.Management.DataFactories","4.13.3","","",""
"Microsoft.Azure.Management.DataFactory","Microsoft.Azure.Management.DataFactory","4.9.0","","",""
"Microsoft.Azure.Management.DataLake.Analytics","Microsoft.Azure.Management.DataLake.Analytics","3.5.3-preview","","",""
"Microsoft.Azure.Management.DataLake.Store","Microsoft.Azure.Management.DataLake.Store","2.4.2-preview","","",""
"Microsoft.Azure.Management.DataLake.StoreUploader","Microsoft.Azure.Management.DataLake.StoreUploader","1.0.1-preview","","",""
"Microsoft.Azure.Management.DataMigration","Microsoft.Azure.Management.DataMigration","0.10.0-preview","","",""
"Microsoft.Azure.Management.DataShare","Microsoft.Azure.Management.DataShare","1.0.1","","",""
"Microsoft.Azure.Management.DeploymentManager","Microsoft.Azure.Management.DeploymentManager","0.9.1-preview","","",""
"Microsoft.Azure.Management.DeviceProvisioningServices","Microsoft.Azure.Management.DeviceProvisioningServices","1.0.0","","",""
"Microsoft.Azure.Management.Devices.Fluent","Microsoft.Azure.Management.Devices.Fluent","1.9.1-beta","","",""
"Microsoft.Azure.Management.DevSpaces","Microsoft.Azure.Management.DevSpaces","0.10.0-preview","","",""
"Microsoft.Azure.Management.DevTestLabs","Microsoft.Azure.Management.DevTestLabs","3.0.0","","",""
"Microsoft.Azure.Management.DigitalTwins","Microsoft.Azure.Management.DigitalTwins","1.0.0-preview.1","","",""
"Microsoft.Azure.Management.Dns","Microsoft.Azure.Management.Dns","3.0.1","","",""
"Microsoft.Azure.Management.Dns.Fluent","Microsoft.Azure.Management.Dns.Fluent","1.34.0","","",""
"Microsoft.Azure.Management.EdgeGateway","Microsoft.Azure.Management.EdgeGateway","0.8.1-preview","","",""
"Microsoft.Azure.Management.EventGrid","Microsoft.Azure.Management.EventGrid","6.0.0","","",""
"Microsoft.Azure.Management.EventHub","Microsoft.Azure.Management.EventHub","2.8.0-preview","","",""
"Microsoft.Azure.Management.EventHub.Fluent","Microsoft.Azure.Management.EventHub.Fluent","1.34.0","","",""
"Microsoft.Azure.Management.Fluent","Microsoft.Azure.Management.Fluent","1.34.0","","",""
"Microsoft.Azure.Management.FrontDoor","Microsoft.Azure.Management.FrontDoor","2.1.0","","",""
"Microsoft.Azure.Management.Graph.RBAC.Fluent","Microsoft.Azure.Management.Graph.RBAC.Fluent","1.34.0","","",""
"Microsoft.Azure.Management.GuestConfiguration","Microsoft.Azure.Management.GuestConfiguration","1.2.0","","",""
"Microsoft.Azure.Management.HDInsight","Microsoft.Azure.Management.HDInsight","5.4.0","","",""
"Microsoft.Azure.Management.HDInsight.Job","Microsoft.Azure.Management.HDInsight.Job","2.0.7","","",""
"Microsoft.Azure.Management.HealthcareApis","Microsoft.Azure.Management.HealthcareApis","1.1.0","","",""
"Microsoft.Azure.Management.HybridCompute","Microsoft.Azure.Management.HybridCompute","0.1.0-preview","","",""
"Microsoft.Azure.Management.HybridData","Microsoft.Azure.Management.HybridData","1.0.1","","",""
"Microsoft.Azure.Management.Intune","Microsoft.Azure.Management.Intune","0.2.0-preview","","",""
"Microsoft.Azure.Management.IotCentral","Microsoft.Azure.Management.IotCentral","2.2.0","","",""
"Microsoft.Azure.Management.IotHub","Microsoft.Azure.Management.IotHub","2.10.0-preview","","",""
"Microsoft.Azure.Management.KeyVault","Microsoft.Azure.Management.KeyVault","3.0.0","","",""
"Microsoft.Azure.Management.KeyVault.Fluent","Microsoft.Azure.Management.KeyVault.Fluent","1.34.0","","",""
"Microsoft.Azure.Management.Kusto","Microsoft.Azure.Management.Kusto","5.0.0","","",""
"Microsoft.Azure.Management.LabServices","Microsoft.Azure.Management.LabServices","3.0.0","","",""
"Microsoft.Azure.Management.LocationBasedServices","Microsoft.Azure.Management.LocationBasedServices","2.0.0","","",""
"Microsoft.Azure.Management.Locks.Fluent","Microsoft.Azure.Management.Locks.Fluent","1.34.0","","",""
"Microsoft.Azure.Management.Logic","Microsoft.Azure.Management.Logic","4.1.0","","",""
"Microsoft.Azure.Management.Logic.Fluent","Microsoft.Azure.Management.Logic.Fluent","1.9.1-beta","","",""
"Microsoft.Azure.Management.MachineLearning","Microsoft.Azure.Management.MachineLearning","1.0.1","","",""
"Microsoft.Azure.Management.MachineLearning.Fluent","Microsoft.Azure.Management.MachineLearning.Fluent","1.9.1-beta","","",""
"Microsoft.Azure.Management.MachineLearningCompute","Microsoft.Azure.Management.MachineLearningCompute","0.4.0","","",""
"Microsoft.Azure.Management.Maintenance","Microsoft.Azure.Management.Maintenance","1.0.0","","",""
"Microsoft.Azure.Management.ManagedNetwork","Microsoft.Azure.Management.ManagedNetwork","1.0.1-preview","","",""
"Microsoft.Azure.Management.ManagedServiceIdentity","Microsoft.Azure.Management.ManagedServiceIdentity","1.0.0","","",""
"Microsoft.Azure.Management.ManagedServices","Microsoft.Azure.Management.ManagedServices","1.1.0","","",""
"Microsoft.Azure.Management.ManagementGroups","Microsoft.Azure.Management.ManagementGroups","1.1.1-preview","","",""
